subject,activity,Mean.tBodyAcc.mean...X,Mean.tBodyAcc.mean...Y,Mean.tBodyAcc.mean...Z,Mean.tGravityAcc.mean...X,Mean.tGravityAcc.mean...Y,Mean.tGravityAcc.mean...Z,Mean.tBodyAccJerk.mean...X,Mean.tBodyAccJerk.mean...Y,Mean.tBodyAccJerk.mean...Z,Mean.tBodyGyro.mean...X,Mean.tBodyGyro.mean...Y,Mean.tBodyGyro.mean...Z,Mean.tBodyGyroJerk.mean...X,Mean.tBodyGyroJerk.mean...Y,Mean.tBodyGyroJerk.mean...Z,Mean.tBodyAccMag.mean..,Mean.tGravityAccMag.mean..,Mean.tBodyAccJerkMag.mean..,Mean.tBodyGyroMag.mean..,Mean.tBodyGyroJerkMag.mean..,Mean.fBodyAcc.mean...X,Mean.fBodyAcc.mean...Y,Mean.fBodyAcc.mean...Z,Mean.fBodyAcc.meanFreq...X,Mean.fBodyAcc.meanFreq...Y,Mean.fBodyAcc.meanFreq...Z,Mean.fBodyAccJerk.mean...X,Mean.fBodyAccJerk.mean...Y,Mean.fBodyAccJerk.mean...Z,Mean.fBodyAccJerk.meanFreq...X,Mean.fBodyAccJerk.meanFreq...Y,Mean.fBodyAccJerk.meanFreq...Z,Mean.fBodyGyro.mean...X,Mean.fBodyGyro.mean...Y,Mean.fBodyGyro.mean...Z,Mean.fBodyGyro.meanFreq...X,Mean.fBodyGyro.meanFreq...Y,Mean.fBodyGyro.meanFreq...Z,Mean.fBodyAccMag.mean..,Mean.fBodyAccMag.meanFreq..,Mean.fBodyBodyAccJerkMag.mean..,Mean.fBodyBodyAccJerkMag.meanFreq..,Mean.fBodyBodyGyroMag.mean..,Mean.fBodyBodyGyroMag.meanFreq..,Mean.fBodyBodyGyroJerkMag.mean..,Mean.fBodyBodyGyroJerkMag.meanFreq..,Mean.tBodyAcc.std...X,Mean.tBodyAcc.std...Y,Mean.tBodyAcc.std...Z,Mean.tGravityAcc.std...X,Mean.tGravityAcc.std...Y,Mean.tGravityAcc.std...Z,Mean.tBodyAccJerk.std...X,Mean.tBodyAccJerk.std...Y,Mean.tBodyAccJerk.std...Z,Mean.tBodyGyro.std...X,Mean.tBodyGyro.std...Y,Mean.tBodyGyro.std...Z,Mean.tBodyGyroJerk.std...X,Mean.tBodyGyroJerk.std...Y,Mean.tBodyGyroJerk.std...Z,Mean.tBodyAccMag.std..,Mean.tGravityAccMag.std..,Mean.tBodyAccJerkMag.std..,Mean.tBodyGyroMag.std..,Mean.tBodyGyroJerkMag.std..,Mean.fBodyAcc.std...X,Mean.fBodyAcc.std...Y,Mean.fBodyAcc.std...Z,Mean.fBodyAccJerk.std...X,Mean.fBodyAccJerk.std...Y,Mean.fBodyAccJerk.std...Z,Mean.fBodyGyro.std...X,Mean.fBodyGyro.std...Y,Mean.fBodyGyro.std...Z,Mean.fBodyAccMag.std..,Mean.fBodyBodyAccJerkMag.std..,Mean.fBodyBodyGyroMag.std..,Mean.fBodyBodyGyroJerkMag.std..,Std.tBodyAcc.mean...X,Std.tBodyAcc.mean...Y,Std.tBodyAcc.mean...Z,Std.tGravityAcc.mean...X,Std.tGravityAcc.mean...Y,Std.tGravityAcc.mean...Z,Std.tBodyAccJerk.mean...X,Std.tBodyAccJerk.mean...Y,Std.tBodyAccJerk.mean...Z,Std.tBodyGyro.mean...X,Std.tBodyGyro.mean...Y,Std.tBodyGyro.mean...Z,Std.tBodyGyroJerk.mean...X,Std.tBodyGyroJerk.mean...Y,Std.tBodyGyroJerk.mean...Z,Std.tBodyAccMag.mean..,Std.tGravityAccMag.mean..,Std.tBodyAccJerkMag.mean..,Std.tBodyGyroMag.mean..,Std.tBodyGyroJerkMag.mean..,Std.fBodyAcc.mean...X,Std.fBodyAcc.mean...Y,Std.fBodyAcc.mean...Z,Std.fBodyAcc.meanFreq...X,Std.fBodyAcc.meanFreq...Y,Std.fBodyAcc.meanFreq...Z,Std.fBodyAccJerk.mean...X,Std.fBodyAccJerk.mean...Y,Std.fBodyAccJerk.mean...Z,Std.fBodyAccJerk.meanFreq...X,Std.fBodyAccJerk.meanFreq...Y,Std.fBodyAccJerk.meanFreq...Z,Std.fBodyGyro.mean...X,Std.fBodyGyro.mean...Y,Std.fBodyGyro.mean...Z,Std.fBodyGyro.meanFreq...X,Std.fBodyGyro.meanFreq...Y,Std.fBodyGyro.meanFreq...Z,Std.fBodyAccMag.mean..,Std.fBodyAccMag.meanFreq..,Std.fBodyBodyAccJerkMag.mean..,Std.fBodyBodyAccJerkMag.meanFreq..,Std.fBodyBodyGyroMag.mean..,Std.fBodyBodyGyroMag.meanFreq..,Std.fBodyBodyGyroJerkMag.mean..,Std.fBodyBodyGyroJerkMag.meanFreq..,Std.tBodyAcc.std...X,Std.tBodyAcc.std...Y,Std.tBodyAcc.std...Z,Std.tGravityAcc.std...X,Std.tGravityAcc.std...Y,Std.tGravityAcc.std...Z,Std.tBodyAccJerk.std...X,Std.tBodyAccJerk.std...Y,Std.tBodyAccJerk.std...Z,Std.tBodyGyro.std...X,Std.tBodyGyro.std...Y,Std.tBodyGyro.std...Z,Std.tBodyGyroJerk.std...X,Std.tBodyGyroJerk.std...Y,Std.tBodyGyroJerk.std...Z,Std.tBodyAccMag.std..,Std.tGravityAccMag.std..,Std.tBodyAccJerkMag.std..,Std.tBodyGyroMag.std..,Std.tBodyGyroJerkMag.std..,Std.fBodyAcc.std...X,Std.fBodyAcc.std...Y,Std.fBodyAcc.std...Z,Std.fBodyAccJerk.std...X,Std.fBodyAccJerk.std...Y,Std.fBodyAccJerk.std...Z,Std.fBodyGyro.std...X,Std.fBodyGyro.std...Y,Std.fBodyGyro.std...Z,Std.fBodyAccMag.std..,Std.fBodyBodyAccJerkMag.std..,Std.fBodyBodyGyroMag.std..,Std.fBodyBodyGyroJerkMag.std..
1,LAYING,0.221598244,-0.040513953,-0.113203554,-0.248881798,0.705549773,0.44581772,0.081086534,0.003838204,0.010834236,-0.016553094,-0.064486124,0.148689436,-0.107270949,-0.041517287,-0.074050121,-0.841929153,-0.841929153,-0.954396265,-0.874759548,-0.96346103,-0.939099052,-0.867065205,-0.882666876,-0.158792671,0.097534842,0.089437655,-0.957073884,-0.92246261,-0.948060904,0.132419092,0.024513619,0.024387945,-0.850249175,-0.952191495,-0.909302721,-0.003546796,-0.091529131,0.010458126,-0.861767648,0.086408563,-0.933300361,0.266391154,-0.862190185,-0.139775013,-0.942366947,0.176485907,-0.928056469,-0.836827406,-0.826061402,-0.896830018,-0.907720007,-0.85236629,-0.958482112,-0.924149274,-0.954855111,-0.873543868,-0.95109044,-0.908284663,-0.918608521,-0.967907244,-0.95779016,-0.795144864,-0.795144864,-0.928245628,-0.81901017,-0.935840983,-0.924437435,-0.833625556,-0.812891559,-0.964160709,-0.93221787,-0.960586987,-0.882296451,-0.951232049,-0.916582508,-0.79830094,-0.921803976,-0.82431944,-0.932660668,0.168930385,0.118675803,0.17404709,0.220289463,0.282054386,0.388321183,0.052856545,0.098593919,0.114352822,0.077179503,0.059640408,0.162279899,0.153808689,0.040313622,0.056779435,0.288613123,0.288613123,0.090496009,0.166442388,0.074861575,0.103724513,0.269666137,0.1998734,0.295124199,0.348872674,0.422317093,0.078456049,0.168998865,0.099114525,0.172257763,0.301907392,0.26622568,0.286676169,0.089362881,0.138858313,0.379111542,0.244013364,0.301955133,0.233434202,0.518621509,0.143774708,0.32011502,0.254239238,0.334617285,0.119468404,0.414847448,0.122957402,0.331177484,0.288552887,0.187362173,0.225012896,0.289570966,0.075218597,0.163771649,0.088076323,0.234217291,0.088038848,0.13736305,0.172564261,0.066120162,0.079254071,0.349812248,0.349812248,0.154039484,0.315382458,0.132852076,0.130107812,0.339788646,0.309051085,0.064342347,0.144939741,0.07695525,0.21818891,0.086926579,0.124606907,0.346392256,0.165389919,0.301767298,0.13999758
1,SITTING,0.261237565,-0.001308288,-0.104544182,0.831509933,0.204411593,0.332043703,0.07748252,-0.000619103,-0.003367792,-0.045350057,-0.091924155,0.062931381,-0.093679381,-0.040211812,-0.046702627,-0.948536786,-0.948536786,-0.987364196,-0.93089249,-0.991976341,-0.979641239,-0.94408455,-0.959184889,-0.049513598,0.075946077,0.23882987,-0.986597023,-0.981579467,-0.986053092,0.256610824,0.047543784,0.092392003,-0.976161464,-0.975838585,-0.951315544,0.189153021,0.063127067,-0.029783921,-0.947782923,0.236655012,-0.985262127,0.351852202,-0.958435589,-0.000262187,-0.989797547,0.184775928,-0.977229008,-0.922618642,-0.939586291,-0.968457146,-0.935517056,-0.949040933,-0.986430711,-0.981371965,-0.987910804,-0.977211283,-0.966473895,-0.941425921,-0.991731592,-0.989518069,-0.987935806,-0.927078419,-0.927078419,-0.984120024,-0.93453184,-0.988308729,-0.976412313,-0.917275006,-0.934469558,-0.987492994,-0.98251391,-0.988339185,-0.977904227,-0.962345043,-0.943917841,-0.928444802,-0.981606177,-0.932198375,-0.987049617,0.063329657,0.047465297,0.042159412,0.090641331,0.111323223,0.069907067,0.02388111,0.07065569,0.074788478,0.046295351,0.061803247,0.183488028,0.022228734,0.013638721,0.039056116,0.11126472,0.11126472,0.022930168,0.108769383,0.019798697,0.043736054,0.106595452,0.090332525,0.226438534,0.2402999,0.35193905,0.026576415,0.029534925,0.020334887,0.145502546,0.294605598,0.293345839,0.051769839,0.062049142,0.077358402,0.265193726,0.307983623,0.242863757,0.116193578,0.355925921,0.030538634,0.233377673,0.079525016,0.306808255,0.026390269,0.259687448,0.051696823,0.151866471,0.138360679,0.071797526,0.13800914,0.119224653,0.027196302,0.03034316,0.019285519,0.056615757,0.101985328,0.102463356,0.02260363,0.024543461,0.029652136,0.16997937,0.16997937,0.036171354,0.142195682,0.032305141,0.054672218,0.161981164,0.150284254,0.025458655,0.029224343,0.018362592,0.057113479,0.119660771,0.100243987,0.167386176,0.04252964,0.151474371,0.036722832
1,STANDING,0.278917629,-0.01613759,-0.110601818,0.942952,-0.272983832,0.013490582,0.075376654,0.007975731,-0.00368525,-0.023987735,-0.059397221,0.074800751,-0.099609213,-0.044062788,-0.048950547,-0.984278207,-0.984278207,-0.992367791,-0.976493793,-0.994966791,-0.995249933,-0.977070848,-0.985297099,0.086515362,0.117478949,0.244858586,-0.994630797,-0.985418705,-0.990752166,0.31418294,0.039161895,0.138581479,-0.986386786,-0.988984456,-0.980773123,-0.120293021,-0.044719198,0.100607635,-0.985356361,0.284555291,-0.992542478,0.422220102,-0.984617623,-0.028605773,-0.994815377,0.334498734,-0.995759902,-0.973190056,-0.979775877,-0.993762985,-0.981225958,-0.976324064,-0.994604542,-0.985648732,-0.992251177,-0.987191947,-0.98773444,-0.980645627,-0.992945107,-0.995137917,-0.992108467,-0.981942929,-0.981942929,-0.993096209,-0.978690029,-0.994733239,-0.996028345,-0.972293102,-0.97793726,-0.995073759,-0.987018227,-0.992349818,-0.987497129,-0.987107728,-0.98234533,-0.982313805,-0.992536003,-0.978466072,-0.994671123,0.007991828,0.010908212,0.013167587,0.019098409,0.082174459,0.050482529,0.004323098,0.018569794,0.01837625,0.010002811,0.052948579,0.058163756,0.00699169,0.010348406,0.016264364,0.022333271,0.022333271,0.003697574,0.033527104,0.003972221,0.004095636,0.022265411,0.014791636,0.168647679,0.19745938,0.297603882,0.002677129,0.007592529,0.003854916,0.140371741,0.159206586,0.182024793,0.009694719,0.011842146,0.022408938,0.195472449,0.196644602,0.213152731,0.019936307,0.280798862,0.005419516,0.157073358,0.019862933,0.227277098,0.004904131,0.273583465,0.005274139,0.036331642,0.027448108,0.013587701,0.035672319,0.034253361,0.002653113,0.007660845,0.003269325,0.010329802,0.01365514,0.024049254,0.004138471,0.004214937,0.007047881,0.032019653,0.032019653,0.005079475,0.028198542,0.005380551,0.005814134,0.040125647,0.031530991,0.002523463,0.007286317,0.003081266,0.010457339,0.014717906,0.022499165,0.032577244,0.004726954,0.028510816,0.005724607
1,WALKING,0.277330759,-0.017383819,-0.111148104,0.935223201,-0.282165021,-0.068102864,0.074041633,0.02827211,-0.004168406,-0.041830964,-0.069530046,0.084944817,-0.089997542,-0.039842871,-0.04613093,-0.136971177,-0.136971177,-0.141428809,-0.160979553,-0.298703679,-0.202794306,0.089712726,-0.331560118,-0.207548374,0.113093646,0.04972652,-0.170546965,-0.035225524,-0.468999225,-0.209261973,-0.386237143,-0.185530281,-0.339032197,-0.103059416,-0.25594094,0.014784499,-0.065774619,0.000773322,-0.128623451,0.190643724,-0.0571194,0.093822181,-0.199252569,0.268844368,-0.319308594,0.190663449,-0.283740259,0.114461337,-0.260027902,-0.976609643,-0.971305961,-0.947717226,-0.113615602,0.067002501,-0.502699789,-0.473535486,-0.054607769,-0.344266629,-0.207421855,-0.304468511,-0.404255453,-0.219688646,-0.219688646,-0.07447175,-0.186978365,-0.325324879,-0.31913472,0.056040007,-0.279686751,-0.133586606,0.106739857,-0.53471344,-0.516691939,-0.03350816,-0.436562227,-0.398032587,-0.103492403,-0.321017954,-0.381601912,0.046391727,0.018186684,0.040836991,0.013413482,0.028964059,0.042237105,0.221131773,0.29406535,0.233961712,0.116512536,0.118088625,0.058555893,0.155820872,0.247081096,0.17394368,0.063784811,0.063784811,0.071781181,0.072970658,0.070821877,0.070349814,0.10176732,0.064097431,0.104639939,0.12910405,0.150116857,0.086562509,0.106194658,0.065311167,0.112296211,0.12575963,0.161079065,0.075438009,0.089038103,0.069584483,0.13513066,0.10980912,0.115673623,0.076685116,0.088783351,0.118325988,0.139227936,0.083950634,0.109058668,0.092577204,0.105490027,0.067978133,0.087178452,0.062030128,0.013092633,0.017857276,0.044649801,0.091756165,0.104032658,0.065466611,0.056790543,0.072080568,0.052341882,0.067270403,0.095379907,0.062535097,0.056036557,0.056036557,0.113768707,0.065364291,0.09175756,0.075946531,0.087048579,0.066682781,0.102406185,0.111077436,0.073030943,0.055242819,0.073445198,0.049066387,0.042592833,0.122148128,0.050353253,0.092272519
1,WALKING_DOWNSTAIRS,0.28918832,-0.009918505,-0.107566191,0.931874419,-0.266610339,-0.062119959,0.054155316,0.029650449,-0.010971973,-0.03507819,-0.090937129,0.090085014,-0.073959204,-0.043990278,-0.027046106,0.027188291,0.027188291,-0.089447481,-0.075741254,-0.295463843,0.038229183,0.001549908,-0.225574472,-0.307395199,0.063220084,0.294322701,-0.027663868,-0.128667158,-0.288334736,-0.253164345,-0.337589701,0.009372239,-0.352449631,-0.055702252,-0.031869427,-0.100453729,0.082551149,-0.075676207,0.096584534,0.119187143,0.026218495,0.076491547,-0.185720286,0.349613895,-0.281963359,0.190000706,0.030035338,-0.031935943,-0.230434213,-0.950559812,-0.937018659,-0.895939695,-0.012283861,-0.101601391,-0.345735032,-0.458030543,-0.126349195,-0.124702454,-0.487027342,-0.238824828,-0.26876148,0.019884351,0.019884351,-0.02578772,-0.225724368,-0.306510646,0.024330839,-0.11296374,-0.297927895,-0.086327897,-0.134580009,-0.401721464,-0.495422486,-0.181414729,-0.238443565,-0.186530301,-0.104052261,-0.39835039,-0.391919877,0.084156488,0.025822222,0.056933227,0.013710792,0.028077745,0.037720148,0.400760112,0.209633947,0.26800103,0.297498795,0.246190034,0.077691132,0.217214278,0.238748088,0.190732088,0.082373238,0.082373238,0.083983476,0.120801095,0.093187232,0.119224728,0.170798561,0.115551596,0.161548531,0.125253981,0.180356637,0.101271668,0.139350881,0.128760865,0.099592356,0.133382943,0.179020421,0.183747199,0.143103055,0.127897612,0.205694971,0.155397048,0.125753602,0.110939249,0.110384217,0.130869481,0.125687284,0.158148437,0.170621328,0.156982984,0.162197376,0.093206441,0.155150625,0.084450779,0.023606332,0.032967651,0.039201925,0.092950437,0.144263054,0.111065793,0.211440131,0.10204247,0.095202156,0.095339295,0.140006882,0.098125716,0.099221318,0.099221318,0.129663757,0.158422189,0.161656474,0.108457544,0.143694799,0.072342119,0.086709313,0.148260153,0.099865828,0.222769257,0.087939282,0.083493482,0.095314607,0.145406657,0.148262026,0.165967807
1,WALKING_UPSTAIRS,0.25546169,-0.023953149,-0.097302002,0.893351098,-0.362153364,-0.07540294,0.10137273,0.019486308,-0.045562545,0.05054938,-0.166170015,0.058359546,-0.122232768,-0.042148588,-0.040712553,-0.129927631,-0.129927631,-0.466503446,-0.12673559,-0.594882865,-0.404321784,-0.190976721,-0.433349702,-0.418735,-0.160697214,-0.520114794,-0.479875246,-0.413444588,-0.685474354,-0.377023128,-0.509495532,-0.551104284,-0.492611668,-0.319474609,-0.453597213,-0.187450248,-0.473574787,-0.133373904,-0.352395945,-0.09774335,-0.442652162,0.085352409,-0.325961457,-0.219303376,-0.634665082,0.114277342,-0.354708025,-0.002320265,-0.019479239,-0.956367028,-0.952849233,-0.91237941,-0.446843888,-0.378274426,-0.706593531,-0.544871105,0.004105184,-0.507168675,-0.614786508,-0.601696656,-0.606332002,-0.324970929,-0.324970929,-0.478991622,-0.148619318,-0.648553044,-0.337428189,0.021769511,0.085956554,-0.461907026,-0.381777065,-0.726040201,-0.565892491,0.151538906,-0.57170784,-0.416260102,-0.533059854,-0.182985518,-0.693930522,0.04996191,0.021747887,0.034455857,0.017898795,0.029438591,0.026159496,0.19012227,0.20501667,0.118575205,0.289100872,0.253090304,0.10673594,0.150915619,0.152933404,0.104676438,0.048429589,0.048429589,0.047222122,0.108892974,0.043843636,0.06728732,0.110281023,0.047205809,0.14475539,0.128638674,0.088343807,0.060273873,0.081582165,0.037988611,0.090837088,0.109059606,0.117083059,0.126770595,0.075427669,0.088851016,0.203322193,0.13538345,0.162864306,0.065976248,0.096257534,0.074673034,0.117423676,0.107347542,0.138167044,0.04813137,0.130650872,0.053547966,0.100049786,0.050033318,0.028578253,0.039799826,0.032489669,0.061127555,0.08062742,0.035395531,0.179709231,0.083631725,0.100849533,0.049490776,0.05565751,0.049915458,0.059732823,0.059732823,0.076675062,0.178929552,0.051177154,0.064000289,0.104938132,0.058711884,0.065305272,0.081520724,0.037736282,0.193759872,0.104104944,0.098208511,0.065198098,0.084528785,0.196117556,0.057427647
2,LAYING,0.281373404,-0.01815874,-0.10724561,-0.509754238,0.752536639,0.64683488,0.082597251,0.012254788,-0.001802649,-0.018476607,-0.111800825,0.144882846,-0.101974134,-0.035859018,-0.070178302,-0.977435485,-0.977435485,-0.987741696,-0.95001157,-0.991767074,-0.97672506,-0.979800878,-0.984380982,-0.146482793,0.257289466,0.402532553,-0.985813631,-0.98276825,-0.986197135,0.159808329,0.121206424,0.190558218,-0.986431143,-0.983321635,-0.962671888,0.102611319,0.042280668,0.055298599,-0.975110196,0.266298213,-0.985374115,0.341758575,-0.972112973,0.018564472,-0.990248702,0.264801505,-0.974059465,-0.980277399,-0.984233297,-0.959014441,-0.988211865,-0.984230418,-0.985872169,-0.983172541,-0.988442014,-0.988275233,-0.982291609,-0.96030656,-0.993235849,-0.989567538,-0.988035821,-0.972873913,-0.972873913,-0.985518076,-0.961164054,-0.989718095,-0.973246482,-0.981025106,-0.984792185,-0.987250256,-0.984987393,-0.989345369,-0.988860686,-0.981910616,-0.963174222,-0.975121388,-0.984568489,-0.961098379,-0.98949266,0.024191932,0.00501324,0.009554733,0.141664158,0.030675271,0.038876808,0.032414192,0.012207759,0.022970244,0.03522216,0.079570429,0.168632616,0.011860561,0.009262427,0.032714338,0.032024636,0.032024636,0.01142068,0.086035201,0.008558226,0.036548313,0.026138928,0.017945605,0.302766206,0.204853562,0.214341404,0.017255279,0.019206929,0.010930265,0.139135852,0.133331932,0.120463473,0.02095504,0.017400167,0.04940896,0.228631233,0.232355514,0.249014848,0.049456726,0.311615734,0.023110819,0.234001665,0.039595893,0.273746478,0.014630401,0.222275483,0.038564681,0.029959634,0.020999429,0.079559945,0.026024684,0.025964848,0.017690924,0.017993883,0.009038477,0.018881488,0.016666088,0.051595061,0.008020942,0.012442019,0.014929933,0.050500825,0.050500825,0.024768668,0.057165952,0.017041251,0.03966796,0.030233451,0.021389956,0.016614435,0.015067146,0.007119503,0.018188457,0.016365362,0.047751296,0.043564873,0.027020558,0.058051196,0.018804586
2,SITTING,0.277087352,-0.015687994,-0.109218272,0.940477273,-0.105630024,0.198726769,0.072256439,0.011695451,0.007605469,-0.045470662,-0.05992868,0.041227746,-0.093632841,-0.041560203,-0.043585097,-0.967893624,-0.967893624,-0.986774713,-0.946035087,-0.991081494,-0.985803841,-0.957343498,-0.970162173,0.085192821,0.150193956,0.096064676,-0.987848794,-0.977139703,-0.98512905,0.305546818,0.026244865,0.092903063,-0.98262139,-0.982100924,-0.959814822,0.130523121,-0.192142738,0.040947235,-0.961273748,0.130934203,-0.983874699,0.280062424,-0.971840596,-0.106358909,-0.989861951,0.194722149,-0.98682228,-0.950704499,-0.959828172,-0.979988761,-0.956750273,-0.954415873,-0.988055854,-0.977983955,-0.987518212,-0.985742028,-0.978919527,-0.959803709,-0.989709023,-0.990889615,-0.985542326,-0.953081444,-0.953081444,-0.984475868,-0.961313624,-0.98959492,-0.98736209,-0.950073754,-0.956862864,-0.989459107,-0.980804228,-0.988570804,-0.986808502,-0.977356189,-0.96352266,-0.955575602,-0.984124186,-0.961385745,-0.989632909,0.023134735,0.027681,0.040288052,0.028780199,0.055930993,0.108004876,0.025690496,0.05068054,0.053196633,0.050973537,0.060783444,0.19090957,0.011518855,0.010936968,0.033861661,0.057667935,0.057667935,0.008776358,0.097228729,0.005873569,0.030947507,0.066544472,0.053791981,0.208260754,0.213739888,0.246504068,0.010996282,0.0139426,0.009541652,0.130617589,0.173406689,0.119139273,0.017276628,0.011769745,0.039185658,0.192108735,0.256465823,0.266786627,0.087624054,0.258936521,0.014880519,0.236350391,0.030876557,0.193272549,0.008614354,0.215959929,0.032408642,0.089148948,0.074075403,0.067834395,0.110900983,0.107680741,0.010467105,0.013062023,0.008292773,0.01644922,0.013553367,0.042036631,0.008592187,0.006852214,0.008084815,0.114096432,0.114096432,0.015722581,0.046645247,0.00950995,0.033079087,0.09395347,0.078511957,0.008986765,0.011049512,0.00717035,0.016190838,0.014814596,0.039321984,0.108923547,0.017027692,0.048054377,0.010092163
2,STANDING,0.277911472,-0.018420827,-0.105908536,0.896928567,-0.370062697,0.129747161,0.07475886,0.010329177,-0.008371588,-0.023862388,-0.082039658,0.08783517,-0.105562158,-0.042241954,-0.054653948,-0.965875181,-0.965875181,-0.980489077,-0.963466342,-0.983951904,-0.98394674,-0.959871697,-0.962471196,0.108519183,0.062337807,0.1044625,-0.980973242,-0.970851338,-0.979775152,0.331449281,-0.056936829,0.039649818,-0.967037112,-0.972576153,-0.960627696,-0.107416045,-0.17116037,0.000226811,-0.964052166,0.119649964,-0.977065296,0.304871865,-0.961775905,-0.066126605,-0.977849827,0.160662824,-0.987271889,-0.957304989,-0.949741851,-0.986685819,-0.97419442,-0.945927079,-0.981085716,-0.97105944,-0.982841446,-0.97299863,-0.971441996,-0.964856702,-0.979324001,-0.983447259,-0.973610118,-0.957874965,-0.957874965,-0.97667528,-0.95394338,-0.977204428,-0.98905647,-0.957908842,-0.946433584,-0.983007924,-0.973520241,-0.984599905,-0.974988125,-0.97103605,-0.969754296,-0.960519381,-0.97516046,-0.956788726,-0.977754298,0.014062972,0.012052601,0.029175034,0.020589357,0.049291207,0.051961069,0.009597146,0.021559497,0.046529138,0.028397274,0.030201121,0.038862485,0.022672864,0.020478962,0.01468911,0.038024866,0.038024866,0.020655796,0.040691623,0.020892826,0.019676002,0.035667393,0.051214509,0.194286275,0.147126292,0.260922289,0.025092772,0.02738822,0.01837144,0.139623592,0.176189742,0.216719429,0.041043467,0.03726955,0.060743171,0.244325499,0.20017763,0.23000515,0.048322222,0.245933043,0.027956128,0.274341791,0.054988683,0.213274083,0.038088287,0.262613959,0.015746112,0.039796252,0.074032134,0.02432164,0.030582213,0.096062782,0.02486225,0.027645277,0.01535496,0.032157252,0.036123565,0.047399536,0.025488814,0.023086123,0.049046508,0.062738686,0.062738686,0.030384284,0.06468864,0.038178152,0.014137825,0.039757276,0.079572828,0.022384769,0.026098171,0.012154532,0.029490451,0.035306705,0.038004414,0.060184224,0.033690859,0.060402914,0.035816189
2,WALKING,0.276426586,-0.01859492,-0.105500358,0.913017333,-0.34660709,0.084727087,0.06180807,0.018249268,0.007895337,-0.053025816,-0.048238232,0.082833663,-0.081883343,-0.053829945,-0.051493916,-0.290407594,-0.290407594,-0.281424154,-0.446549093,-0.54791195,-0.346048161,-0.02190481,-0.45380637,-0.14579549,0.198586467,0.068899521,-0.304615323,-0.078764084,-0.55495671,-0.072710158,-0.263574018,-0.254846439,-0.429713536,-0.554772112,-0.396659907,0.00727968,-0.042700932,0.139752115,-0.324289428,0.393206208,-0.169064353,0.207500927,-0.530704815,0.305283825,-0.583249293,0.126344614,-0.423642838,-0.078091253,-0.425257525,-0.972693201,-0.97211688,-0.972072848,-0.277530463,-0.016602236,-0.586090419,-0.561550256,-0.538453668,-0.481085535,-0.389549832,-0.634140436,-0.435492677,-0.422544169,-0.422544169,-0.164150985,-0.553019916,-0.557798151,-0.457651384,-0.169219686,-0.455222146,-0.314313063,-0.015332952,-0.615898188,-0.604053019,-0.533046953,-0.559856635,-0.577105212,-0.164091969,-0.65179284,-0.558104555,0.051273791,0.018341325,0.02278293,0.009878239,0.006429203,0.062244063,0.211167985,0.275791502,0.185778563,0.095441817,0.100843601,0.037734435,0.131206961,0.105465726,0.130688189,0.049933952,0.049933952,0.077499602,0.056151091,0.097146606,0.055018036,0.113008258,0.045698734,0.126292828,0.139026512,0.148530609,0.076929905,0.143850138,0.051100852,0.113646708,0.120716942,0.140043809,0.083437136,0.061113738,0.065674957,0.118226869,0.202804277,0.146086683,0.081896839,0.122902966,0.117424254,0.140743356,0.073897942,0.168410934,0.109472777,0.113629338,0.052693091,0.087606594,0.043488243,0.01361396,0.018478121,0.013300333,0.090750155,0.161611614,0.048921007,0.049977671,0.046632942,0.050289993,0.126756247,0.109742576,0.125492029,0.0556198,0.0556198,0.120340514,0.053686795,0.133622199,0.056523418,0.075571464,0.047260293,0.104812974,0.181956139,0.05594962,0.04380373,0.048354037,0.044452007,0.038823589,0.135499129,0.038711887,0.156882751
